Monthly_Income_M,Credit_Score,Loan_Amount_M,Work_Experience_Years,Has_Prior_Default,DTI_Ratio,Approved
65.9,634,185,3.0,0,0.098,1
52.0,631,226,0.1,0,0.152,1
69.2,517,194,13.7,0,0.098,1
88.5,642,272,4.5,1,0.108,0
49.8,732,392,11.4,0,0.276,1
49.8,562,175,0.4,1,0.123,0
89.7,759,370,1.5,0,0.144,1
71.9,711,174,1.8,0,0.085,1
44.7,608,167,2.9,0,0.131,1
66.9,658,350,9.7,0,0.183,1
44.8,806,361,2.9,0,0.282,1
44.8,732,354,1.4,0,0.277,1
60.3,671,115,0.4,0,0.067,1
15.0,650,209,0.5,1,0.488,0
17.1,677,351,8.6,1,0.718,0
42.6,627,265,3.5,0,0.218,1
32.7,491,142,7.8,0,0.152,0
61.9,844,310,6.9,0,0.175,1
35.0,683,181,0.9,0,0.181,1
23.9,704,457,0.9,0,0.669,0
87.2,665,430,8.4,0,0.173,1
50.0,608,326,7.7,0,0.228,1
56.5,654,410,2.8,0,0.254,1
23.7,534,267,0.5,0,0.394,0
43.0,850,344,0.1,1,0.28,0
57.4,565,423,2.0,0,0.258,1
29.7,582,287,0.1,0,0.338,0
63.3,633,232,1.6,0,0.128,1
41.8,779,72,3.3,0,0.06,1
48.6,671,251,0.8,0,0.181,1
41.8,565,351,0.7,0,0.294,0
95.8,777,364,13.6,0,0.133,1
54.7,732,315,5.3,0,0.202,1
31.7,716,200,16.4,0,0.221,1
73.1,731,43,2.5,0,0.021,1
28.1,850,206,6.8,0,0.257,1
44.9,494,310,7.3,0,0.242,0
78.3,668,283,5.0,0,0.127,1
62.6,765,310,15.6,0,0.173,1
16.2,654,308,0.2,1,0.665,0
62.1,732,65,7.4,0,0.037,1
46.5,700,330,2.4,0,0.248,1
40.1,699,186,1.2,1,0.162,0
68.5,647,139,4.3,0,0.071,1
77.7,567,139,4.2,0,0.063,1
75.5,575,308,0.9,0,0.143,1
36.5,730,236,1.4,0,0.226,1
48.2,672,75,3.1,0,0.054,1
62.3,658,313,3.2,0,0.176,1
76.5,634,102,2.3,0,0.047,1
44.5,644,275,1.0,0,0.216,1
50.9,759,286,0.0,0,0.197,1
30.7,642,357,21.1,0,0.407,1
28.7,556,456,17.2,0,0.556,0
72.9,733,110,4.0,0,0.053,1
84.8,653,254,31.9,1,0.105,0
53.4,673,230,6.7,0,0.151,1
77.1,807,308,0.4,0,0.14,1
63.0,668,284,0.8,0,0.158,1
40.8,695,221,14.9,0,0.19,1
63.0,570,212,6.0,0,0.118,1
88.8,651,137,11.1,0,0.054,1
54.2,722,369,13.7,0,0.238,1
89.4,538,311,3.6,0,0.122,1
15.0,687,361,0.3,0,0.842,0
73.1,679,226,1.3,0,0.108,1
56.9,674,188,0.4,0,0.116,1
48.4,758,141,1.3,0,0.102,1
57.0,698,299,3.2,1,0.184,0
15.0,796,146,0.8,0,0.341,1
50.2,586,463,1.1,1,0.323,0
62.9,682,116,3.5,0,0.065,1
87.5,677,290,2.5,0,0.116,1
43.6,579,432,3.8,0,0.347,1
37.2,751,326,3.4,0,0.307,1
44.0,850,279,6.2,0,0.222,1
75.1,669,153,16.6,0,0.071,1
62.2,713,108,0.7,0,0.061,1
43.3,677,345,0.6,0,0.279,1
66.3,609,426,11.5,0,0.225,1
57.1,515,212,4.2,0,0.13,1
76.3,610,135,8.7,0,0.062,1
39.6,552,40,1.5,0,0.035,1
47.8,815,152,10.6,0,0.111,1
46.4,660,247,15.5,1,0.186,0
22.8,641,436,6.1,0,0.669,0
61.5,746,334,0.7,0,0.19,1
60.7,575,294,13.5,0,0.17,1
55.1,605,216,9.4,0,0.137,1
49.8,676,196,8.3,0,0.138,1
23.9,757,415,0.2,0,0.608,1
45.7,713,282,9.6,0,0.216,1
47.5,691,40,0.9,0,0.029,1
37.3,677,186,1.5,0,0.175,1
51.5,704,166,5.2,0,0.113,1
63.9,687,200,1.8,0,0.11,1
96.5,582,322,6.5,0,0.117,1
58.8,674,248,5.6,1,0.148,0
60.7,579,252,0.7,0,0.145,1
53.4,677,404,6.4,0,0.265,1
15.0,629,183,15.5,0,0.427,1
54.4,850,465,1.1,0,0.299,1
56.3,667,186,5.5,0,0.116,1
109.2,551,270,2.5,0,0.087,1
50.8,659,229,3.7,0,0.158,1
61.6,714,274,2.0,0,0.156,1
54.2,812,309,2.6,0,0.2,1
29.3,620,308,0.2,0,0.368,0
80.1,535,177,24.0,0,0.077,1
71.5,739,136,5.9,0,0.067,1
72.4,553,535,4.2,0,0.259,1
35.0,633,207,2.9,0,0.207,1
85.9,648,337,4.7,0,0.137,1
24.2,664,83,2.9,1,0.12,0
67.9,729,229,2.7,0,0.118,1
103.2,612,246,3.7,0,0.083,1
33.2,647,312,1.9,0,0.329,1
42.5,669,40,1.2,0,0.033,1
57.2,683,278,4.9,1,0.17,0
43.9,678,134,11.1,0,0.107,1
20.9,707,296,1.0,0,0.496,0
56.5,742,146,0.2,0,0.09,1
31.6,703,166,1.7,0,0.184,1
65.4,709,230,23.4,0,0.123,1
34.8,536,144,10.6,0,0.145,1
89.1,674,208,5.4,0,0.082,1
37.8,711,129,15.9,0,0.119,1
47.9,732,58,3.5,0,0.042,1
72.9,611,372,24.5,0,0.179,1
27.9,614,117,2.1,1,0.147,0
60.0,621,240,1.6,0,0.14,1
83.8,716,343,6.1,1,0.143,0
19.6,758,192,2.9,0,0.343,1
59.1,635,169,5.9,0,0.1,1
60.7,747,285,2.2,0,0.164,1
72.2,680,383,5.8,0,0.186,1
27.8,659,131,1.9,0,0.165,1
25.9,652,243,0.3,0,0.328,1
66.5,733,69,14.6,0,0.036,1
61.5,698,217,12.9,0,0.123,1
60.5,850,264,21.2,0,0.153,1
62.6,598,166,7.6,1,0.093,0
40.0,714,210,6.9,0,0.184,1
60.1,625,105,4.9,0,0.061,1
61.4,596,268,0.8,0,0.153,1
39.3,669,376,1.3,0,0.335,1
96.0,682,139,2.1,0,0.051,1
65.4,850,192,13.3,0,0.103,1
28.8,654,315,1.1,0,0.383,1
69.4,574,393,15.4,0,0.198,1
33.6,693,96,4.4,0,0.1,1
72.3,494,241,7.5,0,0.117,1
80.5,662,291,0.7,0,0.127,1
36.9,671,249,1.9,0,0.236,1
76.2,738,40,19.1,0,0.018,1
64.1,753,315,1.9,0,0.172,1
73.1,627,427,2.1,0,0.204,1
96.7,657,273,1.3,0,0.099,1
49.6,605,147,0.8,1,0.104,0
38.4,574,204,1.6,0,0.186,1
35.4,696,455,6.2,1,0.45,0
37.1,562,360,3.6,1,0.34,0
53.3,635,330,4.8,0,0.217,1
62.5,585,299,0.8,0,0.167,1
61.1,717,187,9.7,0,0.107,1
73.2,823,238,9.2,0,0.114,1
55.3,559,251,0.1,1,0.159,0
87.0,512,320,2.9,0,0.129,1
49.2,659,426,0.4,1,0.303,0
114.8,671,383,9.4,0,0.117,1
68.8,689,104,8.0,0,0.053,1
36.1,632,285,13.9,0,0.276,1
31.4,653,341,1.6,0,0.38,1
65.6,701,328,3.7,0,0.175,1
50.1,758,191,1.2,0,0.133,1
70.7,504,581,2.8,1,0.288,0
65.4,639,120,4.4,0,0.064,1
53.4,688,141,0.3,0,0.092,1
36.4,592,286,7.5,0,0.275,1
21.7,817,493,4.7,0,0.795,1
45.2,616,168,10.6,0,0.13,1
73.8,666,231,1.9,0,0.11,1
59.7,717,379,14.0,0,0.222,1
27.6,620,258,35.0,0,0.327,1
58.8,513,223,15.1,0,0.133,1
63.5,634,322,9.0,1,0.177,0
35.6,758,290,10.0,0,0.285,1
58.4,641,373,5.1,0,0.224,1
56.3,598,402,1.3,0,0.25,1
29.9,749,294,6.8,0,0.344,1
